Version,Type,Class file format version[8],Release date,End of public updates (free),End of extended support (paid),Codename,Dolphin[89],Unnamed: 0,Unnamed: 1,Unnamed: 2,LTS version,Released,"21 September 2017
,,,,,,,,,,,,Public,,,,,,September 2020,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,# of JEPs,,,,,,,14,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Addition(s),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Notable,,,,,,,"Hidden classes, ZGC (garbage collector), Shenandoah (garbage collector), text blocks",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Preview(s),,,,,,,"Sealed classes, pattern matching of instanceof, records",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Incubating,,,,,,,Foreign-memory access,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Removal(s),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Notable,,,,,,,"JavaScript engine, Solaris and SPARC ports",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Support ended,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Public,,,,,,,March 2023[325],,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,# of JEPs,,,,,,,,17,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Addition(s),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Notable,,,,,,,,"Windows/AArch64 Port, jpackager, pattern matching for instanceof, records",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Preview(s),,,,,,,,Sealed classes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Incubating,,,,,,,,"Foreign linker, Foreign-memory access",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Support ended,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Public,,,,,,,,September 2021,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"14 September 2021
(3 years ago)",,Released,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,14,,# of JEPs,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Addition(s),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"macOS/AArch64 Port, sealed classes",,Notable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Switch pattern matching,,Preview(s),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Vector API, Foreign function & memory API",,Incubating,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Removal(s),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"AOT compiler, RMI activation, strictfp keyword made obsolete (JEP 306)",,Notable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,# of JEPs,,,,,,,,,,9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Addition(s),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Notable,,,,,,,,,,"UTF by default
Javadoc code snippets",,,,,,,,,,,,,,,,
,,,,,,,,,,,,Preview(s),,,,,,,,,,Switch pattern matching,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Incubating,,,,,,,,,,"Vector API
Foreign function & memory API",,,,,,,,,,,,,,,,
,,,,,,,,,,,,Removal(s),,,,,,,,,,,,,,,,,,,,,,,,,,
